Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
01/06/14,airplane,transport,2014-06-01T00:00:00+01:00,2014-06-01T01:52:19+01:00,6739,1058.457,0,0
01/06/14,walking,walking,2014-06-01T02:32:49+01:00,2014-06-01T02:36:01+01:00,192,0.144,307,17
01/06/14,walking,walking,2014-06-01T03:00:00+01:00,2014-06-01T03:03:54+01:00,234,0.171,368,20
01/06/14,transport,transport,2014-06-01T03:05:38+01:00,2014-06-01T03:46:48+01:00,2470,28.878,0,0
01/06/14,walking,walking,2014-06-01T03:48:09+01:00,2014-06-01T03:49:27+01:00,78,0.032,104,4
01/06/14,walking,walking,2014-06-01T04:08:35+01:00,2014-06-01T04:08:41+01:00,6,0.002,8,0
01/06/14,walking,walking,2014-06-01T10:30:48+01:00,2014-06-01T10:33:32+01:00,164,0.125,268,15
01/06/14,walking,walking,2014-06-01T10:35:41+01:00,2014-06-01T10:37:02+01:00,81,0.039,124,5
01/06/14,walking,walking,2014-06-01T10:44:04+01:00,2014-06-01T10:53:56+01:00,592,0.510,881,61
01/06/14,walking,walking,2014-06-01T10:55:01+01:00,2014-06-01T10:55:14+01:00,13,0.006,17,1
01/06/14,walking,walking,2014-06-01T10:57:02+01:00,2014-06-01T11:29:59+01:00,1977,1.524,2949,181
01/06/14,walking,walking,2014-06-01T11:33:24+01:00,2014-06-01T11:34:33+01:00,69,0.031,100,4
01/06/14,walking,walking,2014-06-01T11:35:05+01:00,2014-06-01T11:38:18+01:00,193,0.119,193,14
01/06/14,walking,walking,2014-06-01T11:44:35+01:00,2014-06-01T12:23:25+01:00,2330,1.893,3122,225
01/06/14,walking,walking,2014-06-01T12:25:11+01:00,2014-06-01T12:25:16+01:00,5,0.002,6,0
01/06/14,walking,walking,2014-06-01T13:12:22+01:00,2014-06-01T13:12:50+01:00,28,0.012,37,1
01/06/14,transport,transport,2014-06-01T13:15:38+01:00,2014-06-01T13:23:39+01:00,481,1.204,0,0
01/06/14,walking,walking,2014-06-01T13:23:38+01:00,2014-06-01T13:24:17+01:00,39,0.016,52,2
01/06/14,walking,walking,2014-06-01T16:40:27+01:00,2014-06-01T16:41:17+01:00,50,0.021,66,2
01/06/14,walking,walking,2014-06-01T16:42:40+01:00,2014-06-01T16:48:48+01:00,368,0.254,485,30
01/06/14,walking,walking,2014-06-01T16:48:48+01:00,2014-06-01T16:49:31+01:00,43,0.018,58,2
01/06/14,walking,walking,2014-06-01T17:29:14+01:00,2014-06-01T17:29:19+01:00,5,0.002,7,0
01/06/14,walking,walking,2014-06-01T17:29:20+01:00,2014-06-01T17:37:52+01:00,512,0.280,566,33
01/06/14,walking,walking,2014-06-01T17:37:52+01:00,2014-06-01T17:38:00+01:00,8,0.003,10,0
01/06/14,walking,walking,2014-06-01T18:51:27+01:00,2014-06-01T18:53:11+01:00,104,0.043,139,5
01/06/14,walking,walking,2014-06-01T19:04:03+01:00,2014-06-01T19:04:15+01:00,12,0.005,16,1
01/06/14,transport,transport,2014-06-01T19:05:25+01:00,2014-06-01T19:18:12+01:00,767,2.266,0,0
01/06/14,walking,walking,2014-06-01T19:18:12+01:00,2014-06-01T19:20:45+01:00,153,0.123,165,15
01/06/14,walking,walking,2014-06-01T19:20:45+01:00,2014-06-01T19:20:54+01:00,9,0.004,14,1
01/06/14,walking,walking,2014-06-01T20:01:46+01:00,2014-06-01T20:02:15+01:00,29,0.012,38,1
01/06/14,walking,walking,2014-06-01T21:00:47+01:00,2014-06-01T21:03:33+01:00,166,0.107,229,13
01/06/14,walking,walking,2014-06-01T21:13:23+01:00,2014-06-01T21:17:54+01:00,271,0.085,199,10
01/06/14,transport,transport,2014-06-01T21:17:54+01:00,2014-06-01T21:32:24+01:00,870,2.408,0,0
01/06/14,walking,walking,2014-06-01T21:32:24+01:00,2014-06-01T21:44:44+01:00,740,0.482,1035,57
01/06/14,walking,walking,2014-06-01T21:47:00+01:00,2014-06-01T21:48:14+01:00,74,0.034,109,4
01/06/14,walking,walking,2014-06-01T22:40:22+01:00,2014-06-01T22:42:01+01:00,99,0.043,137,5
01/06/14,walking,walking,2014-06-01T23:10:24+01:00,2014-06-01T23:13:34+01:00,190,0.125,186,15
01/06/14,walking,walking,2014-06-01T23:13:34+01:00,2014-06-01T23:14:01+01:00,27,0.011,37,1
01/06/14,walking,walking,2014-06-01T23:17:31+01:00,2014-06-01T23:20:34+01:00,183,0.104,209,12
01/06/14,walking,walking,2014-06-01T23:21:57+01:00,2014-06-01T23:23:50+01:00,113,0.055,176,6
02/06/14,walking,walking,2014-06-02T02:05:59+01:00,2014-06-02T02:06:12+01:00,13,0.006,17,1
02/06/14,walking,walking,2014-06-02T03:22:14+01:00,2014-06-02T03:22:22+01:00,8,0.003,10,0
02/06/14,walking,walking,2014-06-02T11:07:02+01:00,2014-06-02T11:07:25+01:00,23,0.009,30,1
02/06/14,walking,walking,2014-06-02T12:09:37+01:00,2014-06-02T12:14:00+01:00,263,0.173,371,21
02/06/14,transport,transport,2014-06-02T12:35:09+01:00,2014-06-02T12:50:45+01:00,936,2.262,0,0
02/06/14,walking,walking,2014-06-02T12:50:45+01:00,2014-06-02T12:54:18+01:00,213,0.087,259,10
02/06/14,walking,walking,2014-06-02T12:54:18+01:00,2014-06-02T12:54:35+01:00,17,0.007,23,1
02/06/14,walking,walking,2014-06-02T13:00:10+01:00,2014-06-02T13:00:20+01:00,10,0.004,13,1
02/06/14,walking,walking,2014-06-02T15:06:31+01:00,2014-06-02T15:08:54+01:00,143,0.089,191,11
02/06/14,walking,walking,2014-06-02T16:07:47+01:00,2014-06-02T16:08:00+01:00,13,0.006,17,1
02/06/14,walking,walking,2014-06-02T17:18:01+01:00,2014-06-02T17:24:50+01:00,409,0.268,574,32
02/06/14,walking,walking,2014-06-02T18:21:55+01:00,2014-06-02T18:24:47+01:00,172,0.117,252,14
02/06/14,walking,walking,2014-06-02T19:45:59+01:00,2014-06-02T19:48:03+01:00,124,0.078,168,9
02/06/14,walking,walking,2014-06-02T20:00:08+01:00,2014-06-02T20:01:00+01:00,52,0.022,69,3
02/06/14,transport,transport,2014-06-02T20:13:01+01:00,2014-06-02T20:26:18+01:00,797,2.410,0,0
02/06/14,walking,walking,2014-06-02T20:27:48+01:00,2014-06-02T20:28:46+01:00,58,0.024,77,3
03/06/14,walking,walking,2014-06-03T01:46:02+01:00,2014-06-03T02:22:21+01:00,2179,1.729,3044,205
