Date,Name,Start,End,Duration,DistanceFromHomeInKm
01/06/14,Place in International Arrivals Building,2014-06-01T01:52:19+01:00,2014-06-01T03:05:38+01:00,4399,5916
01/06/14,Place in Franklin McPherson Square,2014-06-01T03:46:49+01:00,2014-06-01T04:58:33+01:00,4304,5892
01/06/14,Place in Northwest Rectangle,2014-06-01T10:29:54+01:00,2014-06-01T10:35:41+01:00,347,5895
01/06/14,Place in Northwest Rectangle,2014-06-01T10:35:41+01:00,2014-06-01T10:44:04+01:00,503,5895
01/06/14,Place in Northwest Rectangle,2014-06-01T10:53:56+01:00,2014-06-01T10:57:02+01:00,186,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T11:29:59+01:00,2014-06-01T11:35:05+01:00,306,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T11:38:18+01:00,2014-06-01T11:44:35+01:00,377,5895
01/06/14,Place in West End,2014-06-01T12:23:25+01:00,2014-06-01T13:15:38+01:00,3133,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T13:23:38+01:00,2014-06-01T16:42:40+01:00,11942,5892
01/06/14,Place in Franklin McPherson Square,2014-06-01T16:48:48+01:00,2014-06-01T17:29:20+01:00,2432,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T17:37:52+01:00,2014-06-01T19:05:24+01:00,5252,5892
01/06/14,Place in Woodley Park,2014-06-01T19:20:45+01:00,2014-06-01T21:13:23+01:00,6758,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T21:44:44+01:00,2014-06-01T23:10:24+01:00,5140,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T23:13:34+01:00,2014-06-01T23:17:31+01:00,237,5895
01/06/14,Place in Franklin McPherson Square,2014-06-01T23:20:35+01:00,2014-06-02T00:00:00+01:00,2365,5892
02/06/14,Place in Franklin McPherson Square,2014-06-02T00:00:00+01:00,2014-06-02T03:23:52+01:00,12232,5892
02/06/14,Place in Franklin McPherson Square,2014-06-02T09:09:43+01:00,2014-06-02T12:35:09+01:00,12326,5892
02/06/14,Place in Woodley Park,2014-06-02T12:54:18+01:00,2014-06-02T20:13:01+01:00,26323,5895
02/06/14,Place in Franklin McPherson Square,2014-06-02T20:26:17+01:00,2014-06-02T20:54:08+01:00,1671,5892
03/06/14,Place in East End,2014-06-03T02:22:21+01:00,2014-06-03T02:28:33+01:00,372,5892
03/06/14,Place in Thomas Circle,2014-06-03T02:54:18+01:00,2014-06-03T03:55:46+01:00,3688,5892
03/06/14,Place in Kalorama Triangle,2014-06-03T04:08:18+01:00,2014-06-03T04:25:23+01:00,1025,5892
03/06/14,Place in Franklin McPherson Square,2014-06-03T04:34:37+01:00,2014-06-03T05:01:13+01:00,1596,5892
03/06/14,Place in Franklin McPherson Square,2014-06-03T11:33:47+01:00,2014-06-03T18:12:32+01:00,23925,5892
03/06/14,Place in Woodley Park,2014-06-03T18:30:53+01:00,2014-06-03T21:50:05+01:00,11952,5895
03/06/14,Place in Woodley Park,2014-06-03T21:55:32+01:00,2014-06-03T22:12:26+01:00,1014,5892
03/06/14,Place in Washington Dulles International Airport,2014-06-03T23:15:01+01:00,2014-06-03T23:35:16+01:00,1215,5916
03/06/14,Place in Concourse B,2014-06-03T23:38:31+01:00,2014-06-04T00:00:00+01:00,1289,5919
04/06/14,Place in Concourse B,2014-06-04T00:00:00+01:00,2014-06-04T00:17:23+01:00,1043,5919
04/06/14,Place in Washington Dulles International Airport,2014-06-04T00:22:00+01:00,2014-06-04T03:04:24+01:00,9744,5916
04/06/14,Place in Washington Dulles International Airport,2014-06-04T03:04:24+01:00,2014-06-04T03:17:15+01:00,771,5916
04/06/14,Place in --,2014-06-04T11:16:39+01:00,2014-06-04T11:27:29+01:00,650,
04/06/14,Place in London Borough of Enfield,2014-06-04T13:49:33+01:00,2014-06-05T00:00:00+01:00,36627,0
05/06/14,Place in London Borough of Enfield,2014-06-05T00:00:00+01:00,2014-06-05T00:06:32+01:00,392,0
05/06/14,Place in London Borough of Enfield,2014-06-05T01:07:02+01:00,2014-06-05T21:28:17+01:00,73275,0
06/06/14,Place in London Borough of Hackney,2014-06-06T08:43:23+01:00,2014-06-06T08:52:13+01:00,530,15
06/06/14,Place in London Borough of Hackney,2014-06-06T08:57:49+01:00,2014-06-06T09:12:22+01:00,873,15
06/06/14,Place in London Congestion Charge,2014-06-06T09:31:18+01:00,2014-06-06T09:36:57+01:00,339,15
06/06/14,Place in London Congestion Charge,2014-06-06T09:44:01+01:00,2014-06-06T09:48:25+01:00,264,15
06/06/14,Place in London Congestion Charge,2014-06-06T10:00:04+01:00,2014-06-06T10:03:20+01:00,196,15
06/06/14,Place in London Congestion Charge,2014-06-06T10:07:12+01:00,2014-06-06T11:06:33+01:00,3561,15
