Date,Type,Name,Start,End,Duration
01/06/14,move,airplane,2014-06-01T00:00:00+01:00,2014-06-01T01:52:19+01:00,6739
01/06/14,place,Place in International Arrivals Building,2014-06-01T01:52:19+01:00,2014-06-01T03:05:38+01:00,4399
01/06/14,move,transport,2014-06-01T03:05:38+01:00,2014-06-01T03:46:48+01:00,2470
01/06/14,place,Place in Franklin McPherson Square,2014-06-01T03:46:49+01:00,2014-06-01T04:58:33+01:00,4304
01/06/14,place,Place in Northwest Rectangle,2014-06-01T10:29:54+01:00,2014-06-01T10:35:41+01:00,347
01/06/14,place,Place in Northwest Rectangle,2014-06-01T10:35:41+01:00,2014-06-01T10:44:04+01:00,503
01/06/14,move,walking,2014-06-01T10:44:04+01:00,2014-06-01T10:53:56+01:00,592
01/06/14,place,Place in Northwest Rectangle,2014-06-01T10:53:56+01:00,2014-06-01T10:57:02+01:00,186
01/06/14,move,walking,2014-06-01T10:57:02+01:00,2014-06-01T11:29:59+01:00,1977
01/06/14,place,Place in Franklin McPherson Square,2014-06-01T11:29:59+01:00,2014-06-01T11:35:05+01:00,306
01/06/14,move,walking,2014-06-01T11:35:05+01:00,2014-06-01T11:38:18+01:00,193
01/06/14,place,Place in Franklin McPherson Square,2014-06-01T11:38:18+01:00,2014-06-01T11:44:35+01:00,377
01/06/14,move,walking,2014-06-01T11:44:35+01:00,2014-06-01T12:23:25+01:00,2330
01/06/14,place,Place in West End,2014-06-01T12:23:25+01:00,2014-06-01T13:15:38+01:00,3133
01/06/14,move,transport,2014-06-01T13:15:38+01:00,2014-06-01T13:23:39+01:00,481
01/06/14,place,Place in Franklin McPherson Square,2014-06-01T13:23:38+01:00,2014-06-01T16:42:40+01:00,11942
01/06/14,move,walking,2014-06-01T16:42:40+01:00,2014-06-01T16:48:48+01:00,368
01/06/14,place,Place in Franklin McPherson Square,2014-06-01T16:48:48+01:00,2014-06-01T17:29:20+01:00,2432
01/06/14,move,walking,2014-06-01T17:29:20+01:00,2014-06-01T17:37:52+01:00,512
01/06/14,place,Place in Franklin McPherson Square,2014-06-01T17:37:52+01:00,2014-06-01T19:05:24+01:00,5252
01/06/14,move,transport,2014-06-01T19:05:25+01:00,2014-06-01T19:18:12+01:00,767
01/06/14,move,walking,2014-06-01T19:18:12+01:00,2014-06-01T19:20:45+01:00,153
01/06/14,place,Place in Woodley Park,2014-06-01T19:20:45+01:00,2014-06-01T21:13:23+01:00,6758
01/06/14,move,walking,2014-06-01T21:13:23+01:00,2014-06-01T21:17:54+01:00,271
01/06/14,move,transport,2014-06-01T21:17:54+01:00,2014-06-01T21:32:24+01:00,870
01/06/14,move,walking,2014-06-01T21:32:24+01:00,2014-06-01T21:44:44+01:00,740
01/06/14,place,Place in Franklin McPherson Square,2014-06-01T21:44:44+01:00,2014-06-01T23:10:24+01:00,5140
01/06/14,move,walking,2014-06-01T23:10:24+01:00,2014-06-01T23:13:34+01:00,190
01/06/14,place,Place in Franklin McPherson Square,2014-06-01T23:13:34+01:00,2014-06-01T23:17:31+01:00,237
01/06/14,move,walking,2014-06-01T23:17:31+01:00,2014-06-01T23:20:34+01:00,183
01/06/14,place,Place in Franklin McPherson Square,2014-06-01T23:20:35+01:00,2014-06-02T00:00:00+01:00,2365
02/06/14,place,Place in Franklin McPherson Square,2014-06-02T00:00:00+01:00,2014-06-02T03:23:52+01:00,12232
02/06/14,place,Place in Franklin McPherson Square,2014-06-02T09:09:43+01:00,2014-06-02T12:35:09+01:00,12326
02/06/14,move,transport,2014-06-02T12:35:09+01:00,2014-06-02T12:50:45+01:00,936
02/06/14,move,walking,2014-06-02T12:50:45+01:00,2014-06-02T12:54:18+01:00,213
02/06/14,place,Place in Woodley Park,2014-06-02T12:54:18+01:00,2014-06-02T20:13:01+01:00,26323
02/06/14,move,transport,2014-06-02T20:13:01+01:00,2014-06-02T20:26:18+01:00,797
02/06/14,place,Place in Franklin McPherson Square,2014-06-02T20:26:17+01:00,2014-06-02T20:54:08+01:00,1671
03/06/14,move,walking,2014-06-03T01:46:02+01:00,2014-06-03T02:22:21+01:00,2179
03/06/14,place,Place in East End,2014-06-03T02:22:21+01:00,2014-06-03T02:28:33+01:00,372
03/06/14,move,walking,2014-06-03T02:28:33+01:00,2014-06-03T02:34:51+01:00,378
03/06/14,move,transport,2014-06-03T02:34:50+01:00,2014-06-03T02:54:17+01:00,1167
03/06/14,place,Place in Thomas Circle,2014-06-03T02:54:18+01:00,2014-06-03T03:55:46+01:00,3688
03/06/14,move,walking,2014-06-03T03:55:46+01:00,2014-06-03T04:08:18+01:00,752
03/06/14,place,Place in Kalorama Triangle,2014-06-03T04:08:18+01:00,2014-06-03T04:25:23+01:00,1025
03/06/14,move,transport,2014-06-03T04:25:23+01:00,2014-06-03T04:32:01+01:00,398
03/06/14,move,walking,2014-06-03T04:32:01+01:00,2014-06-03T04:34:37+01:00,156
03/06/14,place,Place in Franklin McPherson Square,2014-06-03T04:34:37+01:00,2014-06-03T05:01:13+01:00,1596
03/06/14,place,Place in Franklin McPherson Square,2014-06-03T11:33:47+01:00,2014-06-03T18:12:32+01:00,23925
03/06/14,move,transport,2014-06-03T18:12:32+01:00,2014-06-03T18:28:12+01:00,940
03/06/14,move,walking,2014-06-03T18:28:11+01:00,2014-06-03T18:30:52+01:00,161
03/06/14,place,Place in Woodley Park,2014-06-03T18:30:53+01:00,2014-06-03T21:50:05+01:00,11952
03/06/14,move,walking,2014-06-03T21:50:05+01:00,2014-06-03T21:55:33+01:00,328
03/06/14,place,Place in Woodley Park,2014-06-03T21:55:32+01:00,2014-06-03T22:12:26+01:00,1014
03/06/14,move,walking,2014-06-03T22:12:26+01:00,2014-06-03T22:20:49+01:00,503
03/06/14,move,transport,2014-06-03T22:20:49+01:00,2014-06-03T23:15:01+01:00,3252
03/06/14,place,Place in Washington Dulles International Airport,2014-06-03T23:15:01+01:00,2014-06-03T23:35:16+01:00,1215
03/06/14,move,transport,2014-06-03T23:35:16+01:00,2014-06-03T23:38:31+01:00,195
03/06/14,place,Place in Concourse B,2014-06-03T23:38:31+01:00,2014-06-04T00:00:00+01:00,1289
04/06/14,place,Place in Concourse B,2014-06-04T00:00:00+01:00,2014-06-04T00:17:23+01:00,1043
04/06/14,move,walking,2014-06-04T00:17:24+01:00,2014-06-04T00:22:00+01:00,276
04/06/14,place,Place in Washington Dulles International Airport,2014-06-04T00:22:00+01:00,2014-06-04T03:04:24+01:00,9744
04/06/14,place,Place in Washington Dulles International Airport,2014-06-04T03:04:24+01:00,2014-06-04T03:17:15+01:00,771
04/06/14,move,airplane,2014-06-04T03:17:16+01:00,2014-06-04T10:55:22+01:00,27486
04/06/14,move,walking,2014-06-04T11:12:10+01:00,2014-06-04T11:16:39+01:00,269
04/06/14,place,Place in --,2014-06-04T11:16:39+01:00,2014-06-04T11:27:29+01:00,650
