date,total,12-1am,1-2am,2-3am,3-4am,4-5am,5-6am,6-7am,7-8am,8-9am,9-10am,10-11am,11am-12pm,12-1pm,1-2pm,2-3pm,3-4pm,4-5pm,5-6pm,6-7pm,7-8pm,8-9pm,9-10pm,10-11pm,11-12pm
13/07/14,9263,,,,,,,,,,,,,,,,,,,,,,,,
14/07/14,11588,,,,,,,343,536,2075,352,218,1359,921,195,296,365,410,295,25,134,781,947,86,
15/07/14,6861,,,,,,,,,,,,,,,,,,,,,,,,
16/07/14,1113,,,,,,,,,,,,,,,,,,104,205,42,343,419,,
17/07/14,3580,,,,,,,,,,,,,,,,,,,,,,,,
18/07/14,7839,,,,,,,,,,,,,,,,,,,,,,,,
19/07/14,1085,,,,,,,,,,,243,465,377,,,,,,,,,,,
20/07/14,7945,,,,,,,,,,,,,,,,,,,,,,,,
21/07/14,9051,,,,,,,,,,,,,,,,,,,,,,,,
22/07/14,8289,,,,,,,,,,746,385,763,88,105,729,595,2167,,,,,,,
23/07/14,4666,,,,,,,,,,,,,,65,198,200,637,317,365,171,960,,779,
24/07/14,9118,189,,,,,,,,,,,890,318,845,786,658,974,2143,126,1817,372,,,
25/07/14,8424,,,,,,,,,,,,,,,,,,,,,,,,
26/07/14,18285,,,,,,,,,,,,,,,,,,,,,,,,
27/07/14,4017,,,,,,,,,,,,,,,,,,,,,,,,
28/07/14,5399,,,,,,,,,,,,,,,,,,,,,,,,
29/07/14,7101,,,,,,,,,,,,,,,,,,,,,,,,
30/07/14,9926,,,,,,,,,,,,,,,,,,,,,,,,
31/07/14,6783,,,,,,,,,,,,,,,,,,,,,,,,
01/08/14,5355,,,,,,,,,,,,,,,,,,,,,,,,
02/08/14,8172,,,,,,,,,,,,,,,,,,,,,,,,
03/08/14,2678,,,,,,,,,,,,,,462,570,552,830,264,,,,,,
04/08/14,3107,,,,,,,,,,,,,,,,,,,,,,,,
05/08/14,9088,,,,,,,,1130,1144,269,1287,1290,,78,133,16,1723,933,77,100,148,87,,
06/08/14,5820,,,,,,,,,,,2038,833,378,,,,,,,795,1737,,,
07/08/14,4272,,,,,,,,502,1671,666,,,,,,,,,,745,636,,,
08/08/14,5730,,,,,,,,,,,,,,,,,,,,,,,,
09/08/14,4124,,,,,,,,,,,,,,,,,,,,,,,,
10/08/14,1247,,,,,,,,,,,,,,,,,,,,,,,,
11/08/14,4139,,,,,,,,,,,,,,,,,,,,,,,,
12/08/14,3546,,,,,,,,,,,,,,,,,,,,,,,,
13/08/14,8153,,,,,,,,1358,2441,202,206,,116,15,364,471,,,102,842,1923,113,,
